fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-09,Two Black Cadillacs,47,38,2.28286,0.019876
2013-03-09,I'm Different,48,37,2.28286,0.019876
2013-03-09,Sail,49,46,2.230467,0.018861
2013-03-09,Die Young,50,39,2.28286,0.019876
2013-03-16,Harlem Shake,1,49,2.190836,0.018031
2013-03-16,Thrift Shop,2,1,2.358074,0.021313
2013-03-16,When I Was Your Man,3,32,2.288549,0.019882
2013-03-16,I Knew You Were Trouble.,4,21,2.288549,0.019882
2013-03-16,Stay,5,42,2.273411,0.019583
2013-03-16,Started From The Bottom,6,46,2.216147,0.018493
2013-03-16,Scream & Shout,7,2,2.358074,0.021313
2013-03-16,Suit & Tie,8,12,2.326773,0.020656
2013-03-16,Locked Out Of Heaven,9,16,2.288549,0.019882
2013-03-16,Don't You Worry Child,10,4,2.358074,0.021313
2013-03-16,Love Me,11,14,2.321573,0.020549
2013-03-16,Heart Attack,12,50,2.132565,0.01701
2013-03-16,Ho Hey,13,22,2.288549,0.019882
2013-03-16,Daylight,14,31,2.288549,0.019882
2013-03-16,F**kin Problems,15,5,2.358074,0.021313
2013-03-16,Sweet Nothing,16,3,2.358074,0.021313
2013-03-16,Girl On Fire,17,8,2.358074,0.021313
2013-03-16,Feel This Moment,18,15,2.309538,0.020303
2013-03-16,I Will Wait,19,7,2.358074,0.021313
2013-03-16,Radioactive,20,23,2.288549,0.019882
2013-03-16,Pour It Up,21,40,2.276043,0.019635
2013-03-16,It's Time,22,24,2.288549,0.019882
2013-03-16,Catch My Breath,23,18,2.288549,0.019882
2013-03-16,Beauty And A Beat,24,6,2.358074,0.021313
2013-03-16,Try,25,19,2.288549,0.019882
2013-03-16,Poetic Justice,26,9,2.358074,0.021313
2013-03-16,Gangnam Style,27,20,2.288549,0.019882
2013-03-16,Little Talks,28,10,2.358074,0.021313
2013-03-16,Sure Be Cool If You Did,29,43,2.265684,0.019432
2013-03-16,Sail,30,45,2.244316,0.019021
2013-03-16,Carry On,31,41,2.276043,0.019635
2013-03-16,Diamonds,32,17,2.288549,0.019882
2013-03-16,Skyfall,33,38,2.286325,0.019837
2013-03-16,Troublemaker,34,13,2.321573,0.020549
2013-03-16,One More Night,35,29,2.288549,0.019882
2013-03-16,Home,36,30,2.288549,0.019882
2013-03-16,Hall Of Fame,37,11,2.358074,0.021313
2013-03-16,Some Nights,38,27,2.288549,0.019882
2013-03-16,Wanted,39,28,2.288549,0.019882
2013-03-16,All Gold Everything,40,26,2.288549,0.019882
2013-03-16,C'mon,41,25,2.288549,0.019882
2013-03-16,Adorn,42,34,2.288549,0.019882
2013-03-16,Better Dig Two,43,35,2.288549,0.019882
2013-03-16,One Way Or Another (Teenage Kicks),44,48,2.196612,0.018135
2013-03-16,One Of Those Nights,45,36,2.288549,0.019882
2013-03-16,Two Black Cadillacs,46,37,2.288549,0.019882
2013-03-16,Just Give Me A Reason,47,44,2.248572,0.019103
2013-03-16,Swimming Pools (Drank),48,33,2.288549,0.019882
2013-03-16,Kiss You,49,39,2.28286,0.019769
2013-03-16,Downtown,50,47,2.212061,0.018418
2013-03-23,Harlem Shake,1,49,2.210309,0.018266
2013-03-23,Thrift Shop,2,1,2.362993,0.021279
2013-03-23,When I Was Your Man,3,31,2.293293,0.019847
2013-03-23,Stay,4,37,2.290411,0.01979
2013-03-23,Suit & Tie,5,12,2.335189,0.020696
2013-03-23,I Knew You Were Trouble.,6,21,2.293293,0.019847
2013-03-23,Started From The Bottom,7,46,2.232626,0.018678
2013-03-23,Scream & Shout,8,2,2.362993,0.021279
2013-03-23,Love Me,9,13,2.331658,0.020623
2013-03-23,Locked Out Of Heaven,10,32,2.293293,0.019847
2013-03-23,Don't You Worry Child,11,4,2.362993,0.021279
2013-03-23,Daylight,12,22,2.293293,0.019847
2013-03-23,Feel This Moment,13,15,2.321573,0.020416
2013-03-23,Ho Hey,14,20,2.293293,0.019847
2013-03-23,F**kin Problems,15,5,2.362993,0.021279
2013-03-23,Sweet Nothing,16,3,2.362993,0.021279
2013-03-23,Radioactive,17,24,2.293293,0.019847
2013-03-23,Just Give Me A Reason,18,42,2.268771,0.019366
2013-03-23,Pour It Up,19,38,2.28286,0.019641
2013-03-23,I Will Wait,20,8,2.362993,0.021279
2013-03-23,Girl On Fire,21,7,2.362993,0.021279
2013-03-23,Heart Attack,22,50,2.167784,0.017506
2013-03-23,It's Time,23,23,2.293293,0.019847
2013-03-23,Catch My Breath,24,19,2.293293,0.019847
2013-03-23,Sure Be Cool If You Did,25,41,2.273833,0.019464
2013-03-23,Little Talks,26,9,2.362993,0.021279
2013-03-23,Gangnam Style,27,18,2.293293,0.019847
2013-03-23,Poetic Justice,28,6,2.362993,0.021279
2013-03-23,Carry On,29,39,2.28286,0.019641
2013-03-23,Try,30,17,2.293293,0.019847
2013-03-23,Beauty And A Beat,31,10,2.362993,0.021279
2013-03-23,Troublemaker,32,14,2.331658,0.020623
2013-03-23,Diamonds,33,29,2.293293,0.019847
2013-03-23,Sail,34,45,2.255942,0.019119
2013-03-23,Hall Of Fame,35,11,2.362993,0.021279
2013-03-23,One More Night,36,30,2.293293,0.019847
2013-03-23,Home,37,27,2.293293,0.019847
2013-03-23,Mama's Broken Heart,38,44,2.255942,0.019119
2013-03-23,Some Nights,39,28,2.293293,0.019847
2013-03-23,Can't Hold Us,40,16,2.30471,0.020075
2013-03-23,Adorn,41,25,2.293293,0.019847
2013-03-23,Downtown,42,48,2.228504,0.018602
2013-03-23,Two Black Cadillacs,43,26,2.293293,0.019847
2013-03-23,All Gold Everything,44,35,2.293293,0.019847
