fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-02,Harlem Shake,1,48,0.013579,0.017989
2013-03-02,Thrift Shop,2,1,0.174587,0.021132
2013-03-02,Stay,3,46,0.024468,0.018186
2013-03-02,Scream & Shout,4,2,0.174587,0.021132
2013-03-02,I Knew You Were Trouble.,5,15,0.123343,0.020076
2013-03-02,Ho Hey,6,32,0.123343,0.020076
2013-03-02,Locked Out Of Heaven,7,16,0.123343,0.020076
2013-03-02,When I Was Your Man,8,31,0.123343,0.020076
2013-03-02,Suit & Tie,9,41,0.090728,0.019432
2013-03-02,Started From The Bottom,10,47,0.023695,0.018172
2013-03-02,Don't You Worry Child,11,3,0.174587,0.021132
2013-03-02,I Will Wait,12,7,0.174587,0.021132
2013-03-02,Daylight,13,14,0.123343,0.020076
2013-03-02,Girl On Fire,14,5,0.174587,0.021132
2013-03-02,F**kin Problems,15,6,0.174587,0.021132
2013-03-02,Beauty And A Beat,16,4,0.174587,0.021132
2013-03-02,Sweet Nothing,17,8,0.174587,0.021132
2013-03-02,Try,18,13,0.123343,0.020076
2013-03-02,Love Me,19,43,0.067899,0.018994
2013-03-02,Carry On,20,40,0.092189,0.019461
2013-03-02,Diamonds,21,24,0.123343,0.020076
2013-03-02,Pour It Up,22,39,0.092189,0.019461
2013-03-02,It's Time,23,30,0.123343,0.020076
2013-03-02,Mirrors,24,49,0.013579,0.017989
2013-03-02,Catch My Breath,25,23,0.123343,0.020076
2013-03-02,Gangnam Style,26,21,0.123343,0.020076
2013-03-02,Adorn,27,22,0.123343,0.020076
2013-03-02,Some Nights,28,17,0.123343,0.020076
2013-03-02,Wanted,29,18,0.123343,0.020076
2013-03-02,Home,30,19,0.123343,0.020076
2013-03-02,Little Talks,31,9,0.174587,0.021132
2013-03-02,The A Team,32,20,0.123343,0.020076
2013-03-02,Hall Of Fame,33,12,0.174587,0.021132
2013-03-02,One More Night,34,29,0.123343,0.020076
2013-03-02,C'mon,35,25,0.123343,0.020076
2013-03-02,Somebody That I Used To Know,36,11,0.174587,0.021132
2013-03-02,Radioactive,37,28,0.123343,0.020076
2013-03-02,Sure Be Cool If You Did,38,42,0.073746,0.019105
2013-03-02,Better Dig Two,39,27,0.123343,0.020076
2013-03-02,I'm Different,40,26,0.123343,0.020076
2013-03-02,Two Black Cadillacs,41,38,0.123343,0.020076
2013-03-02,Swimming Pools (Drank),42,34,0.123343,0.020076
2013-03-02,One Of Those Nights,43,35,0.123343,0.020076
2013-03-02,Troublemaker,44,44,0.067899,0.018994
2013-03-02,One Way Or Another (Teenage Kicks),45,50,0.013579,0.017989
2013-03-02,All Gold Everything,46,36,0.123343,0.020076
2013-03-02,Feel This Moment,47,45,0.050098,0.018658
2013-03-02,I Cry,48,33,0.123343,0.020076
2013-03-02,Poetic Justice,49,10,0.174587,0.021132
2013-03-02,Die Young,50,37,0.123343,0.020076
2013-03-09,Harlem Shake,1,49,0.023669,0.018018
2013-03-09,Thrift Shop,2,1,0.189434,0.021267
2013-03-09,When I Was Your Man,3,32,0.130782,0.020055
2013-03-09,I Knew You Were Trouble.,4,15,0.130782,0.020055
2013-03-09,Scream & Shout,5,2,0.189434,0.021267
2013-03-09,Started From The Bottom,6,47,0.033748,0.018201
2013-03-09,Stay,7,46,0.036122,0.018244
2013-03-09,Suit & Tie,8,38,0.119385,0.019828
2013-03-09,Locked Out Of Heaven,9,14,0.130782,0.020055
2013-03-09,Love Me,10,42,0.091044,0.019274
2013-03-09,Ho Hey,11,16,0.130782,0.020055
2013-03-09,Don't You Worry Child,12,4,0.189434,0.021267
2013-03-09,One Way Or Another (Teenage Kicks),13,48,0.023699,0.018019
2013-03-09,Daylight,14,13,0.130782,0.020055
2013-03-09,F**kin Problems,15,5,0.189434,0.021267
2013-03-09,Girl On Fire,16,3,0.189434,0.021267
2013-03-09,Sweet Nothing,17,8,0.189434,0.021267
2013-03-09,Beauty And A Beat,18,7,0.189434,0.021267
2013-03-09,I Will Wait,19,6,0.189434,0.021267
2013-03-09,Try,20,22,0.130782,0.020055
2013-03-09,Pour It Up,21,39,0.110297,0.019649
2013-03-09,Radioactive,22,21,0.130782,0.020055
2013-03-09,It's Time,23,12,0.130782,0.020055
2013-03-09,Catch My Breath,24,18,0.130782,0.020055
2013-03-09,Diamonds,25,20,0.130782,0.020055
2013-03-09,Little Talks,26,9,0.189434,0.021267
2013-03-09,Gangnam Style,27,19,0.130782,0.020055
2013-03-09,Feel This Moment,28,44,0.067943,0.018834
2013-03-09,Home,29,17,0.130782,0.020055
2013-03-09,Carry On,30,40,0.110297,0.019649
2013-03-09,Hall Of Fame,31,10,0.189434,0.021267
2013-03-09,Sure Be Cool If You Did,32,41,0.091966,0.019292
2013-03-09,One More Night,33,31,0.130782,0.020055
2013-03-09,Poetic Justice,34,11,0.189434,0.021267
2013-03-09,C'mon,35,30,0.130782,0.020055
2013-03-09,Wanted,36,29,0.130782,0.020055
2013-03-09,Troublemaker,37,43,0.091044,0.019274
2013-03-09,Some Nights,38,28,0.130782,0.020055
2013-03-09,Better Dig Two,39,27,0.130782,0.020055
2013-03-09,Adorn,40,26,0.130782,0.020055
2013-03-09,All Gold Everything,41,25,0.130782,0.020055
2013-03-09,Hey Porsche,42,50,0.013579,0.017837
2013-03-09,Swimming Pools (Drank),43,23,0.130782,0.020055
2013-03-09,One Of Those Nights,44,35,0.130782,0.020055
2013-03-09,The A Team,45,36,0.130782,0.020055
2013-03-09,Kiss You,46,37,0.12354,0.019911
2013-03-09,Two Black Cadillacs,47,33,0.130782,0.020055
2013-03-09,I'm Different,48,24,0.130782,0.020055
2013-03-09,Sail,49,45,0.057951,0.018647
2013-03-09,Die Young,50,34,0.130782,0.020055
2013-03-16,Harlem Shake,1,49,0.03367,0.018121
2013-03-16,Thrift Shop,2,1,0.197201,0.02134
2013-03-16,When I Was Your Man,3,32,0.134357,0.02004
2013-03-16,I Knew You Were Trouble.,4,15,0.134357,0.02004
2013-03-16,Stay,5,44,0.050144,0.018422
2013-03-16,Started From The Bottom,6,45,0.044971,0.018327
2013-03-16,Scream & Shout,7,2,0.197201,0.02134
2013-03-16,Suit & Tie,8,12,0.150006,0.020356
2013-03-16,Locked Out Of Heaven,9,16,0.134357,0.02004
2013-03-16,Don't You Worry Child,10,4,0.197201,0.02134
2013-03-16,Love Me,11,40,0.119906,0.019753
2013-03-16,Heart Attack,12,50,0.013579,0.01776
2013-03-16,Ho Hey,13,14,0.134357,0.02004
2013-03-16,Daylight,14,13,0.134357,0.02004
2013-03-16,F**kin Problems,15,5,0.197201,0.02134
2013-03-16,Sweet Nothing,16,3,0.197201,0.02134
