fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-02,Harlem Shake,1,48,0.987171,0.017969
2013-03-02,Thrift Shop,2,1,1.15051,0.021158
2013-03-02,Stay,3,45,1.064735,0.019419
2013-03-02,Scream & Shout,4,2,1.15051,0.021158
2013-03-02,I Knew You Were Trouble.,5,28,1.083096,0.019778
2013-03-02,Ho Hey,6,30,1.083096,0.019778
2013-03-02,Locked Out Of Heaven,7,32,1.083096,0.019778
2013-03-02,When I Was Your Man,8,31,1.083096,0.019778
2013-03-02,Suit & Tie,9,13,1.120764,0.020538
2013-03-02,Started From The Bottom,10,47,1.015965,0.018494
2013-03-02,Don't You Worry Child,11,3,1.15051,0.021158
2013-03-02,I Will Wait,12,7,1.15051,0.021158
2013-03-02,Daylight,13,29,1.083096,0.019778
2013-03-02,Girl On Fire,14,5,1.15051,0.021158
2013-03-02,F**kin Problems,15,6,1.15051,0.021158
2013-03-02,Beauty And A Beat,16,4,1.15051,0.021158
2013-03-02,Sweet Nothing,17,8,1.15051,0.021158
2013-03-02,Try,18,20,1.083096,0.019778
2013-03-02,Love Me,19,15,1.11552,0.02043
2013-03-02,Carry On,20,43,1.071427,0.019549
2013-03-02,Diamonds,21,24,1.083096,0.019778
2013-03-02,Pour It Up,22,44,1.071427,0.019549
2013-03-02,It's Time,23,21,1.083096,0.019778
2013-03-02,Mirrors,24,49,0.987171,0.017969
2013-03-02,Catch My Breath,25,23,1.083096,0.019778
2013-03-02,Gangnam Style,26,26,1.083096,0.019778
2013-03-02,Adorn,27,22,1.083096,0.019778
2013-03-02,Some Nights,28,17,1.083096,0.019778
2013-03-02,Wanted,29,18,1.083096,0.019778
2013-03-02,Home,30,19,1.083096,0.019778
2013-03-02,Little Talks,31,9,1.15051,0.021158
2013-03-02,The A Team,32,25,1.083096,0.019778
2013-03-02,Hall Of Fame,33,12,1.15051,0.021158
2013-03-02,One More Night,34,39,1.083096,0.019778
2013-03-02,C'mon,35,42,1.083096,0.019778
2013-03-02,Somebody That I Used To Know,36,11,1.15051,0.021158
2013-03-02,Radioactive,37,27,1.083096,0.019778
2013-03-02,Sure Be Cool If You Did,38,46,1.06159,0.019358
2013-03-02,Better Dig Two,39,40,1.083096,0.019778
2013-03-02,I'm Different,40,34,1.083096,0.019778
2013-03-02,Two Black Cadillacs,41,36,1.083096,0.019778
2013-03-02,Swimming Pools (Drank),42,35,1.083096,0.019778
2013-03-02,One Of Those Nights,43,33,1.083096,0.019778
2013-03-02,Troublemaker,44,14,1.11552,0.02043
2013-03-02,One Way Or Another (Teenage Kicks),45,50,0.987171,0.017969
2013-03-02,All Gold Everything,46,38,1.083096,0.019778
2013-03-02,Feel This Moment,47,16,1.103925,0.020195
2013-03-02,I Cry,48,37,1.083096,0.019778
2013-03-02,Poetic Justice,49,10,1.15051,0.021158
2013-03-02,Die Young,50,41,1.083096,0.019778
2013-03-09,Harlem Shake,1,49,1.010422,0.018316
2013-03-09,Thrift Shop,2,1,1.155271,0.021171
2013-03-09,When I Was Your Man,3,32,1.087517,0.019784
2013-03-09,I Knew You Were Trouble.,4,21,1.087517,0.019784
2013-03-09,Scream & Shout,5,2,1.155271,0.021171
2013-03-09,Started From The Bottom,6,47,1.031194,0.0187
2013-03-09,Stay,7,41,1.085535,0.019744
2013-03-09,Suit & Tie,8,12,1.12887,0.020619
2013-03-09,Locked Out Of Heaven,9,16,1.087517,0.019784
