,tau
799,0
800,8
801,8
802,8
803,8
804,8
805,8
806,8
807,8
808,8
809,8
810,3
811,5
812,8
813,8
814,8
815,8
816,8
817,4
818,0
819,8
820,8
821,8
822,8
823,8
824,8
825,8
826,0
827,8
828,1
829,8
830,8
831,8
832,8
833,8
834,5
835,0
836,1
837,8
838,8
839,8
840,8
841,8
842,8
843,4
844,6
845,8
846,6
847,8
848,8
849,0
850,7
851,8
852,8
853,8
854,8
855,3
856,8
857,0
858,8
859,6
860,8
861,0
862,2
863,8
864,0
865,1
866,8
867,8
868,4
869,0
870,1
871,8
872,0
873,7
874,8
875,8
876,4
877,5
878,8
879,8
880,8
881,3
882,8
883,8
884,8
885,1
886,6
887,8
888,1
889,1
890,8
891,8
892,8
893,3
894,8
895,8
896,8
897,1
898,3
899,2
900,9
901,9
902,6
903,9
904,7
905,9
906,4
907,9
908,9
909,9
910,9
911,9
912,9
913,9
914,9
915,0
916,9
917,9
918,9
919,8
920,9
921,5
922,9
923,1
924,9
925,9
926,1
927,9
928,9
929,9
930,9
931,2
932,2
933,6
934,9
935,9
936,5
937,9
938,9
939,9
940,9
941,9
942,9
943,9
944,9
945,7
946,9
947,9
948,4
949,9
950,9
951,9
952,1
953,9
954,2
955,9
956,9
957,9
958,8
959,4
960,5
961,7
962,0
963,9
964,1
965,3
966,1
967,9
968,9
969,2
970,6
971,9
972,0
973,0
974,1
975,0
976,3
977,9
978,9
979,2
980,9
981,3
982,2
983,9
984,2
985,4
986,9
987,1
988,7
989,4
990,9
991,9
992,6
993,9
994,2
995,9
996,2
997,5
998,1
999,9
1000,6
1001,10
1002,10
1003,10
1004,5
1005,7
1006,10
1007,10
1008,8
1009,10
1010,2
1011,10
1012,10
1013,10
1014,10
1015,10
1016,10
1017,2
1018,10
1019,10
1020,10
1021,10
1022,10
1023,10
1024,10
1025,10
1026,2
1027,10
1028,10
1029,10
1030,3
1031,3
1032,10
1033,7
1034,10
1035,10
1036,10
1037,0
1038,10
1039,10
1040,10
1041,10
1042,5
1043,10
1044,10
1045,8
1046,10
1047,6
1048,9
1049,3
1050,5
1051,10
1052,8
1053,2
1054,10
1055,7
1056,3
1057,10
1058,9
1059,1
1060,5
1061,10
1062,10
1063,0
1064,10
1065,1
1066,0
1067,0
1068,3
1069,10
1070,2
1071,0
1072,0
1073,10
1074,10
1075,10
1076,10
1077,10
1078,10
1079,8
1080,10
1081,3
1082,5
1083,4
1084,2
1085,10
1086,3
1087,10
1088,1
1089,10
1090,4
1091,3
1092,1
1093,10
1094,4
1095,6
1096,7
1097,6
1098,2
1099,3
1100,6
1101,11
1102,7
1103,11
1104,11
1105,9
1106,11
1107,11
1108,11
1109,11
1110,4
1111,6
1112,11
1113,5
1114,11
1115,4
1116,11
1117,11
1118,4
1119,11
1120,11
1121,11
1122,8
1123,6
1124,11
1125,11
1126,3
1127,11
1128,11
1129,4
1130,8
1131,11
1132,4
1133,11
1134,7
1135,11
1136,11
1137,11
1138,11
1139,11
1140,11
1141,11
1142,3
1143,9
1144,11
1145,11
1146,1
1147,11
1148,11
1149,6
1150,10
1151,9
1152,11
1153,4
1154,2
1155,11
1156,1
1157,4
1158,10
1159,6
1160,11
1161,3
1162,11
1163,1
1164,11
1165,1
1166,1
1167,11
1168,2
1169,0
1170,0
1171,0
1172,2
1173,11
1174,4
