,tau
10021,7
10022,0
10023,24
10024,33
10025,19
10026,14
10027,13
10028,13
10029,25
10030,24
10031,10
10032,6
10033,23
10034,8
10035,10
10036,16
10037,13
10038,16
10039,8
10040,25
10041,1
10042,4
10043,2
10044,10
10045,21
10046,20
10047,8
10048,46
10049,3
10050,3
10051,19
10052,8
10053,5
10054,5
10055,4
10056,5
10057,25
10058,3
10059,8
10060,4
10061,0
10062,6
10063,16
10064,0
10065,18
10066,9
10067,0
10068,1
10069,2
10070,4
10071,0
10072,9
10073,5
10074,0
10075,12
10076,9
10077,11
10078,7
10079,15
10080,0
10081,16
10082,15
10083,24
10084,16
10085,6
10086,8
10087,0
10088,17
10089,7
10090,4
10091,19
10092,19
10093,15
10094,17
10095,0
10096,4
10097,3
10098,9
10099,13
10100,8
10101,4
10102,24
10103,7
10104,19
10105,5
10106,11
10107,29
10108,1
10109,20
10110,8
10111,1
10112,7
10113,22
10114,13
10115,21
10116,12
10117,38
10118,8
10119,5
10120,34
10121,31
10122,22
10123,5
10124,11
10125,21
10126,4
10127,20
10128,15
10129,14
10130,14
10131,3
10132,25
10133,2
10134,26
10135,21
10136,7
10137,0
10138,17
10139,9
10140,9
10141,24
10142,0
10143,17
10144,14
10145,9
10146,26
10147,11
10148,16
10149,16
10150,18
10151,6
10152,9
10153,9
10154,1
10155,4
10156,6
10157,0
10158,6
10159,5
10160,9
10161,14
10162,3
10163,6
10164,7
10165,2
10166,0
10167,0
10168,17
10169,2
10170,3
10171,5
10172,11
10173,0
10174,12
10175,19
10176,18
10177,10
10178,8
10179,8
10180,1
10181,12
10182,4
10183,13
10184,17
10185,1
10186,5
10187,17
10188,16
10189,7
10190,0
10191,25
10192,20
10193,4
10194,10
10195,5
10196,13
10197,0
10198,10
10199,18
10200,0
10201,20
10202,5
10203,27
10204,22
10205,6
10206,2
10207,8
10208,30
10209,25
10210,22
10211,2
10212,21
10213,0
10214,13
10215,32
10216,9
10217,19
10218,2
10219,13
10220,12
10221,23
10222,23
10223,1
10224,35
10225,6
10226,5
10227,16
10228,21
10229,15
10230,3
10231,15
10232,26
10233,6
10234,12
10235,8
10236,8
10237,4
10238,10
10239,1
10240,10
10241,25
10242,15
10243,18
10244,10
10245,18
10246,12
10247,27
10248,9
10249,102
10250,2
10251,1
10252,19
10253,7
10254,13
10255,26
10256,3
10257,8
10258,2
10259,10
10260,0
10261,7
10262,4
10263,0
10264,3
10265,1
10266,15
10267,9
10268,0
10269,10
10270,6
10271,0
10272,1
10273,7
10274,7
10275,0
10276,21
10277,4
10278,9
10279,17
10280,18
10281,17
10282,6
10283,8
10284,9
10285,6
10286,6
10287,5
10288,14
10289,19
10290,11
10291,18
10292,5
10293,14
10294,5
10295,11
10296,1
10297,10
10298,17
10299,9
10300,31
10301,21
10302,24
10303,3
10304,23
10305,24
10306,7
10307,10
10308,28
10309,26
10310,14
10311,10
10312,10
10313,103
10314,9
10315,20
10316,33
10317,14
10318,7
10319,22
10320,13
10321,3
10322,36
10323,5
10324,2
10325,3
10326,6
10327,17
10328,4
10329,7
10330,27
10331,9
10332,22
10333,16
10334,9
10335,19
10336,16
10337,6
10338,11
10339,28
10340,11
10341,26
10342,16
10343,19
10344,2
10345,13
10346,11
10347,13
10348,23
10349,18
10350,7
10351,12
10352,1
10353,4
10354,0
10355,5
10356,5
10357,10
10358,4
10359,10
10360,7
10361,22
10362,18
10363,0
10364,1
10365,9
10366,0
10367,2
10368,0
10369,8
10370,5
10371,0
10372,16
10373,8
10374,6
10375,0
10376,8
10377,15
10378,9
10379,3
10380,1
10381,18
10382,1
10383,6
10384,0
10385,7
10386,2
10387,19
10388,12
10389,2
10390,15
10391,19
10392,0
10393,2
10394,6
10395,11
10396,10
10397,7
10398,8
10399,6
10400,0
10401,24
10402,25
10403,37
10404,25
10405,8
10406,4
10407,104
10408,4
10409,11
10410,7
10411,11
10412,21
10413,32
10414,11
10415,3
10416,0
10417,22
10418,27
10419,8
10420,14
10421,29
10422,20
10423,6
10424,12
10425,19
10426,7
10427,18
10428,5
10429,10
10430,8
10431,28
10432,10
10433,14
10434,17
10435,3
10436,23
10437,12
10438,0
10439,7
10440,29
10441,12
10442,17
10443,27
10444,14
10445,3
10446,20
10447,17
10448,34
10449,9
10450,8
10451,8
10452,5
10453,16
10454,9
10455,6
10456,0
10457,20
10458,23
10459,6
10460,3
10461,8
10462,0
10463,0
10464,2
10465,10
10466,13
10467,1
10468,0
10469,19
10470,6
10471,1
10472,11
10473,16
10474,5
10475,4
10476,0
10477,3
10478,15
10479,0
10480,15
10481,10
10482,19
10483,13
10484,10
10485,7
10486,3
10487,4
10488,4
10489,3
10490,0
10491,2
10492,11
10493,7
10494,8
10495,2
10496,11
10497,12
10498,9
10499,0
10500,5
10501,5
10502,26
10503,9
10504,30
10505,25
10506,26
10507,35
10508,15
10509,12
10510,22
10511,11
10512,33
10513,4
10514,12
10515,23
10516,8
10517,28
10518,9
10519,4
10520,5
10521,12
10522,4
10523,7
10524,21
10525,20
10526,8
10527,6
10528,19
10529,9
10530,24
10531,29
10532,11
10533,18
10534,18
10535,38
10536,15
10537,13
10538,15
10539,8
10540,4
10541,21
10542,13
10543,13
10544,30
10545,18
10546,28
10547,11
10548,0
10549,4
10550,12
10551,8
10552,10
10553,5
10554,8
10555,17
10556,7
10557,8
10558,13
10559,7
10560,10
10561,1
10562,14
10563,12
10564,2
10565,7
10566,0
10567,1
10568,0
10569,3
10570,18
10571,0
10572,19
10573,7
10574,6
10575,0
10576,12
10577,17
10578,9
10579,14
10580,8
10581,16
10582,16
10583,4
10584,1
10585,10
10586,9
10587,4
10588,9
10589,15
10590,10
10591,24
10592,6
10593,5
10594,1
10595,3
10596,9
10597,3
10598,11
10599,11
10600,6
10601,5
10602,16
10603,36
10604,27
10605,10
10606,6
10607,0
10608,26
10609,27
10610,10
10611,12
10612,13
10613,31
10614,9
10615,13
10616,13
10617,29
10618,23
10619,5
10620,6
10621,34
10622,22
10623,16
10624,29
10625,21
10626,7
10627,9
10628,20
10629,12
10630,10
10631,25
10632,19
10633,30
10634,16
10635,5
10636,19
10637,14
10638,8
10639,22
10640,9
10641,5
10642,14
10643,39
10644,31
10645,14
10646,19
10647,12
10648,10
10649,0
10650,15
10651,1
10652,18
10653,8
10654,18
10655,8
10656,4
10657,16
10658,11
10659,2
10660,15
10661,8
10662,19
10663,6
10664,0
10665,0
10666,13
10667,0
10668,4
10669,0
10670,0
10671,0
10672,24
10673,10
10674,12
10675,1
10676,14
10677,8
10678,5
10679,10
10680,13
10681,5
10682,12
10683,9
10684,2
10685,4
10686,7
10687,4
10688,17
10689,17
10690,11
10691,7
10692,9
10693,10
10694,11
10695,2
10696,10
10697,13
10698,25
10699,9
10700,28
10701,23
10702,35
10703,14
10704,17
10705,28
10706,10
10707,6
10708,6
10709,27
10710,24
10711,7
10712,0
10713,14
10714,11
10715,6
10716,0
10717,30
10718,11
10719,14
10720,30
10721,37
10722,7
10723,11
10724,32
10725,10
10726,21
10727,13
10728,31
10729,11
10730,17
10731,13
10732,20
10733,26
10734,20
10735,23
10736,15
10737,6
10738,17
10739,10
10740,0
10741,15
10742,15
10743,6
10744,40
10745,20
10746,7
10747,9
10748,11
10749,8
10750,16
10751,3
10752,9
10753,11
10754,2
10755,13
10756,19
10757,1
10758,15
10759,0
10760,19
10761,5
10762,1
10763,16
10764,1
10765,5
10766,1
10767,17
10768,0
10769,1
10770,0
10771,20
10772,0
10773,0
10774,0
10775,6
10776,1
10777,5
10778,1
10779,13
10780,8
10781,13
10782,18
10783,5
10784,18
10785,3
10786,10
10787,2
10788,11
10789,12
10790,8
10791,12
10792,14
10793,14
10794,11
10795,9
10796,10
10797,3
10798,9
10799,10
10800,24
10801,36
10802,7
10803,41
10804,29
10805,1
10806,33
10807,15
10808,31
10809,1
10810,38
10811,29
10812,18
10813,15
10814,8
10815,28
10816,7
10817,12
10818,6
10819,0
10820,8
10821,0
10822,21
10823,7
10824,24
10825,9
10826,14
10827,11
10828,22
10829,21
10830,12
10831,32
10832,0
10833,18
10834,27
10835,7
10836,14
10837,17
10838,16
10839,10
10840,21
10841,8
10842,7
10843,11
10844,16
10845,16
10846,11
10847,18
10848,9
10849,12
10850,11
10851,4
10852,10
10853,4
10854,15
10855,2
10856,18
10857,2
10858,2
10859,2
10860,6
10861,1
10862,14
10863,1
10864,0
10865,20
10866,2
10867,1
10868,0
10869,17
10870,0
10871,7
10872,2
10873,12
10874,6
10875,2
10876,10
10877,12
10878,12
10879,15
10880,3
10881,12
10882,12
10883,9
10884,11
10885,4
10886,19
10887,13
10888,6
10889,14
10890,14
10891,13
10892,19
10893,11
10894,3
10895,2
10896,1
10897,10
10898,0
10899,15
10900,30
10901,13
10902,37
10903,25
10904,30
10905,34
10906,22
10907,4
10908,2
10909,16
10910,7
10911,10
10912,8
10913,8
10914,16
10915,13
10916,18
10917,39
10918,9
10919,42
10920,32
10921,17
10922,17
10923,9
10924,29
10925,10
10926,15
10927,23
10928,12
10929,22
10930,1
10931,13
10932,33
10933,19
10934,12
10935,19
10936,15
10937,9
10938,11
10939,8
10940,12
10941,22
10942,8
10943,2
10944,8
10945,17
10946,28
10947,8
10948,12
10949,19
10950,15
10951,15
10952,11
10953,1
10954,0
10955,3
10956,16
10957,1
10958,0
10959,15
10960,3
10961,7
10962,1
10963,2
10964,3
10965,1
10966,0
10967,4
10968,0
10969,13
10970,3
10971,0
10972,2
10973,2
10974,21
10975,5
10976,13
10977,4
10978,3
10979,0
10980,10
10981,13
10982,13
10983,5
10984,14
10985,14
10986,16
10987,7
10988,12
10989,11
10990,2
10991,11
10992,1
10993,7
10994,12
10995,5
10996,0
10997,13
10998,3
10999,16
11000,26
11001,35
11002,8
11003,9
11004,14
11005,18
11006,13
11007,31
11008,3
11009,9
11010,5
11011,23
11012,33
11013,1
11014,17
11015,5
11016,40
11017,9
11018,14
11019,19
11020,8
11021,38
11022,13
11023,10
11024,18
11025,4
11026,11
11027,16
11028,24
11029,13
11030,2
11031,14
11032,34
11033,20
11034,23
11035,11
11036,20
11037,29
11038,3
11039,1
11040,16
11041,13
11042,18
11043,12
11044,43
11045,9
11046,23
11047,9
11048,10
11049,10
11050,11
11051,8
11052,3
11053,0
11054,4
11055,14
11056,16
11057,2
11058,13
11059,14
11060,4
11061,14
11062,2
11063,0
11064,16
11065,16
11066,0
11067,0
11068,3
11069,4
11070,17
11071,22
11072,14
11073,4
11074,12
11075,5
11076,0
11077,1
11078,13
11079,17
11080,2
11081,3
11082,6
11083,17
11084,14
11085,15
11086,8
11087,12
11088,9
11089,6
11090,15
11091,2
11092,1
11093,3
11094,6
11095,17
11096,4
11097,4
11098,12
11099,4
11100,4
11101,6
11102,9
11103,15
11104,39
11105,32
11106,24
11107,3
11108,0
11109,19
11110,34
11111,4
11112,0
11113,36
11114,5
11115,10
11116,6
11117,24
11118,15
11119,20
11120,19
11121,27
11122,2
11123,12
11124,13
11125,17
11126,25
11127,3
11128,14
11129,2
11130,15
11131,35
11132,4
11133,24
11134,10
11135,14
11136,21
11137,44
11138,21
11139,30
11140,14
11141,14
11142,19
11143,10
11144,17
11145,11
11146,12
11147,11
11148,12
11149,9
11150,10
11151,13
11152,4
11153,3
11154,18
11155,1
11156,4
11157,17
11158,5
11159,3
11160,1
11161,9
11162,5
11163,15
11164,17
11165,2
11166,0
11167,15
11168,0
11169,23
11170,0
11171,5
11172,0
11173,5
11174,5
11175,11
11176,0
11177,1
11178,0
11179,10
11180,18
11181,15
11182,7
11183,2
11184,2
11185,7
11186,18
11187,14
11188,10
11189,13
11190,16
11191,7
11192,3
11193,15
11194,18
11195,5
11196,9
11197,16
11198,13
11199,5
11200,18
11201,6
11202,10
11203,20
11204,25
11205,33
11206,5
11207,14
11208,5
11209,16
11210,3
11211,28
11212,20
11213,16
11214,13
11215,4
11216,6
11217,11
11218,37
11219,12
11220,35
11221,15
11222,11
11223,11
11224,13
11225,18
11226,26
11227,3
11228,4
11229,5
11230,15
11231,36
11232,16
11233,15
11234,13
11235,45
11236,21
11237,12
11238,25
11239,22
11240,31
11241,22
11242,15
11243,40
11244,20
11245,3
11246,7
11247,0
11248,3
11249,0
11250,19
11251,0
11252,4
11253,5
11254,6
11255,19
11256,0
11257,0
11258,6
11259,0
11260,16
11261,4
11262,0
11263,2
11264,4
11265,6
11266,0
11267,0
11268,0
11269,2
11270,0
11271,10
11272,5
11273,14
11274,12
11275,6
11276,0
11277,1
11278,15
11279,11
11280,2
11281,14
11282,1
11283,8
11284,8
11285,17
11286,19
11287,7
11288,19
11289,17
11290,10
11291,6
11292,16
11293,4
11294,2
11295,8
11296,11
11297,11
11298,10
11299,14
11300,13
11301,4
11302,1
11303,16
11304,6
11305,34
11306,41
11307,17
11308,19
11309,26
11310,3
11311,7
11312,29
11313,6
11314,17
11315,15
11316,14
11317,5
11318,11
11319,15
11320,4
11321,21
11322,1
11323,13
11324,21
11325,14
11326,19
11327,6
11328,5
11329,27
11330,4
11331,16
11332,16
11333,8
11334,17
11335,12
11336,12
11337,23
11338,26
11339,16
11340,4
11341,23
11342,32
11343,46
11344,16
11345,14
11346,11
11347,37
11348,21
11349,0
11350,1
11351,5
11352,17
11353,0
11354,1
11355,0
11356,1
11357,7
11358,7
11359,12
11360,1
11361,7
11362,3
11363,5
11364,7
11365,1
11366,3
11367,0
11368,4
11369,0
11370,6
11371,5
11372,0
11373,17
11374,12
11375,38
11376,8
11377,11
11378,12
11379,6
11380,13
11381,22
11382,15
11383,1
11384,20
11385,9
11386,9
11387,12
11388,7
11389,3
11390,5
11391,18
11392,7
11393,2
11394,18
11395,0
11396,9
11397,2
11398,15
11399,11
11400,27
11401,4
11402,35
11403,33
11404,13
11405,2
11406,17
11407,3
11408,8
11409,6
11410,12
11411,22
11412,2
11413,20
11414,18
11415,16
11416,7
11417,14
11418,7
11419,17
11420,12
11421,42
11422,47
11423,5
11424,5
11425,6
11426,20
11427,6
11428,7
11429,5
11430,28
11431,17
11432,17
11433,9
11434,13
11435,7
11436,18
11437,38
11438,24
11439,5
11440,0
11441,17
11442,15
11443,24
11444,27
11445,22
11446,18
11447,14
11448,15
11449,15
11450,14
11451,12
11452,0
11453,13
11454,8
11455,0
11456,3
11457,4
11458,18
11459,2
11460,9
11461,5
11462,0
11463,13
11464,8
11465,0
11466,8
11467,7
11468,18
11469,0
11470,0
11471,0
11472,30
11473,0
11474,5
11475,1
11476,1
11477,8
11478,21
11479,16
11480,4
11481,2
11482,6
11483,6
11484,19
11485,16
11486,3
11487,10
11488,10
11489,12
11490,0
11491,13
11492,19
11493,23
11494,16
11495,0
11496,8
11497,2
11498,13
11499,10
11500,14
11501,18
11502,48
11503,13
11504,8
11505,4
11506,23
11507,25
11508,9
11509,17
11510,1
11511,1
11512,19
11513,28
11514,43
11515,0
11516,23
11517,8
11518,8
11519,7
11520,34
11521,36
11522,5
11523,19
11524,18
11525,16
11526,21
11527,7
11528,8
11529,6
11530,18
11531,10
11532,29
11533,14
11534,18
11535,15
11536,6
11537,6
11538,0
11539,19
11540,39
11541,25
11542,6
11543,16
11544,7
11545,3
11546,0
11547,21
11548,28
11549,13
11550,1
11551,14
11552,24
11553,13
11554,1
11555,1
11556,3
11557,1
11558,3
11559,4
11560,5
11561,9
11562,0
11563,6
11564,0
11565,0
11566,5
11567,0
11568,0
11569,14
11570,19
11571,3
11572,19
11573,9
11574,8
11575,3
11576,9
11577,5
11578,15
11579,15
11580,17
11581,22
11582,14
11583,18
11584,3
11585,11
11586,11
11587,4
11588,9
11589,2
11590,11
11591,17
11592,6
11593,17
11594,14
11595,0
11596,6
11597,7
11598,16
11599,13
11600,15
11601,5
11602,49
11603,24
11604,35
11605,0
11606,8
11607,19
11608,26
11609,20
11610,10
11611,14
11612,29
11613,9
11614,8
11615,6
11616,19
11617,0
11618,6
11619,44
11620,10
11621,37
11622,17
11623,20
11624,2
11625,9
11626,8
11627,22
11628,9
11629,7
11630,11
11631,19
11632,5
11633,15
11634,7
11635,26
11636,30
11637,7
11638,7
11639,16
11640,20
11641,4
11642,40
11643,6
11644,18
11645,29
11646,9
11647,19
11648,24
11649,17
11650,16
11651,7
11652,2
11653,15
11654,18
11655,2
11656,2
11657,12
11658,1
11659,7
11660,1
11661,4
11662,15
11663,10
11664,1
11665,1
11666,0
11667,0
11668,0
11669,0
11670,0
11671,0
11672,0
11673,5
11674,4
11675,1
11676,17
11677,2
11678,18
11679,4
11680,4
11681,23
11682,12
11683,14
11684,19
11685,10
11686,4
11687,18
11688,16
11689,14
11690,3
11691,12
11692,10
11693,1
11694,12
11695,2
11696,8
11697,6
11698,15
11699,7
11700,30
11701,25
11702,6
11703,9
11704,20
11705,21
11706,27
11707,18
11708,10
11709,50
11710,10
11711,7
11712,38
11713,9
11714,16
11715,11
11716,15
11717,17
11718,45
11719,27
11720,1
11721,27
11722,3
11723,8
11724,30
11725,25
11726,9
11727,23
11728,10
11729,8
11730,12
11731,20
11732,8
11733,16
11734,21
11735,36
11736,20
11737,8
11738,19
11739,5
11740,21
11741,6
11742,17
11743,7
11744,11
11745,10
11746,41
11747,31
11748,18
11749,13
11750,5
11751,3
11752,15
11753,2
11754,1
11755,0
11756,0
11757,8
11758,19
11759,2
11760,18
11761,8
11762,16
11763,16
11764,1
11765,0
11766,6
11767,23
11768,2
11769,2
11770,0
11771,16
11772,11
11773,0
11774,3
11775,3
11776,13
11777,5
11778,20
11779,19
11780,5
11781,4
11782,8
11783,15
11784,7
11785,0
11786,7
11787,5
11788,2
11789,9
11790,17
11791,11
11792,5
11793,13
11794,24
11795,3
11796,19
11797,1
11798,0
11799,3
11800,10
11801,22
11802,7
11803,10
11804,37
11805,12
11806,18
11807,28
11808,21
11809,8
11810,18
11811,51
11812,26
11813,28
11814,31
11815,17
11816,7
11817,19
11818,11
11819,8
11820,42
11821,39
11822,4
11823,12
11824,31
11825,10
11826,24
11827,11
11828,13
11829,9
11830,21
11831,9
11832,22
11833,9
11834,17
11835,22
11836,20
11837,32
11838,9
11839,6
11840,2
11841,7
11842,8
11843,12
11844,11
11845,11
11846,0
11847,21
11848,6
11849,19
11850,14
11851,2
11852,0
11853,24
11854,3
11855,14
11856,2
11857,2
11858,3
11859,9
11860,16
11861,1
11862,3
11863,0
11864,2
11865,2
11866,25
11867,19
11868,0
11869,17
11870,2
11871,0
11872,0
11873,2
11874,4
11875,9
11876,14
11877,3
11878,21
11879,28
11880,16
11881,5
11882,9
11883,16
11884,10
11885,6
11886,3
11887,4
11888,20
11889,6
11890,12
11891,6
11892,4
11893,18
11894,6
11895,8
11896,4
11897,0
11898,0
11899,0
11900,5
11901,11
11902,43
11903,8
11904,19
11905,23
11906,23
11907,13
11908,29
11909,9
11910,10
11911,29
11912,40
11913,52
11914,27
11915,29
11916,7
11917,9
11918,32
11919,32
11920,22
11921,12
11922,9
11923,13
11924,20
11925,11
11926,12
11927,14
11928,25
11929,10
11930,22
11931,23
11932,10
11933,3
11934,11
11935,10
11936,13
11937,3
11938,18
11939,7
11940,22
11941,10
11942,1
11943,8
11944,33
11945,12
11946,21
11947,18
11948,38
11949,18
11950,19
11951,4
11952,7
11953,7
11954,1
11955,3
11956,15
11957,3
11958,0
11959,3
11960,3
11961,4
11962,0
11963,10
11964,3
11965,3
11966,1
11967,1
11968,0
11969,0
11970,15
11971,10
11972,1
11973,0
11974,19
11975,5
11976,25
11977,15
11978,8
11979,20
11980,1
11981,11
11982,22
11983,6
11984,5
11985,2
11986,21
11987,12
11988,4
11989,13
11990,5
11991,9
11992,7
11993,4
11994,17
11995,5
11996,4
11997,1
11998,7
11999,17
12000,39
12001,12
12002,8
12003,9
12004,44
12005,12
12006,14
12007,6
12008,24
12009,20
12010,5
12011,11
12012,30
12013,23
12014,10
12015,2
12016,11
12017,24
12018,13
12019,30
12020,33
12021,41
12022,30
12023,11
12024,10
12025,4
12026,21
12027,12
12028,11
12029,26
12030,15
12031,13
12032,24
12033,22
12034,23
12035,13
12036,11
12037,10
12038,8
12039,13
12040,19
12041,11
12042,23
12043,9
12044,2
12045,14
12046,34
12047,4
12048,53
12049,28
12050,5
12051,1
12052,16
12053,22
12054,0
12055,5
12056,2
12057,1
12058,7
12059,5
12060,4
12061,8
12062,4
12063,2
12064,11
12065,2
12066,1
12067,2
12068,0
12069,1
12070,0
12071,0
12072,0
12073,4
12074,4
12075,19
12076,8
12077,4
12078,7
12079,6
12080,14
12081,9
12082,12
12083,3
12084,8
12085,1
12086,14
12087,18
12088,26
12089,5
12090,6
12091,2
12092,18
12093,6
12094,6
12095,0
12096,10
12097,4
12098,8
12099,16
12100,40
12101,12
12102,15
12103,10
12104,9
12105,7
12106,14
12107,25
12108,34
12109,45
12110,24
12111,6
12112,6
12113,13
12114,42
12115,0
12116,13
12117,11
12118,31
12119,21
12120,3
12121,12
12122,35
12123,11
12124,31
12125,31
12126,22
12127,16
12128,13
12129,12
12130,14
12131,27
12132,23
12133,25
12134,12
12135,10
12136,5
12137,9
12138,14
12139,12
12140,3
12141,11
12142,20
12143,10
12144,15
12145,12
12146,24
12147,24
12148,5
12149,54
12150,14
12151,5
12152,0
12153,19
12154,9
12155,3
12156,1
12157,5
12158,3
12159,1
12160,3
12161,17
12162,9
12163,2
12164,0
12165,3
12166,17
12167,0
12168,1
12169,0
12170,0
12171,0
12172,25
12173,0
12174,6
12175,2
12176,5
12177,2
12178,7
12179,3
12180,26
12181,8
12182,13
12183,15
12184,6
12185,6
12186,7
12187,11
12188,27
12189,15
12190,19
12191,5
12192,9
12193,5
12194,5
12195,2
12196,4
12197,9
12198,7
12199,7
12200,13
12201,10
12202,11
12203,16
12204,36
12205,13
12206,13
12207,35
12208,8
12209,15
12210,12
12211,46
12212,4
12213,0
12214,26
12215,41
12216,28
12217,8
12218,14
12219,32
12220,13
12221,7
12222,21
12223,22
12224,16
12225,6
12226,23
12227,13
12228,17
12229,14
12230,15
12231,24
12232,28
12233,26
12234,6
12235,25
12236,13
12237,15
12238,10
12239,12
12240,12
12241,1
12242,11
12243,4
12244,32
12245,11
12246,4
12247,25
12248,14
12249,15
12250,43
12251,1
12252,3
12253,6
12254,3
12255,3
12256,0
12257,0
12258,1
12259,7
12260,4
12261,0
12262,4
12263,2
12264,19
12265,4
12266,1
12267,10
12268,0
12269,0
12270,2
12271,4
12272,0
12273,10
12274,6
12275,0
12276,6
12277,6
12278,14
12279,27
12280,7
12281,7
12282,16
12283,8
12284,20
12285,6
12286,9
12287,26
12288,8
12289,1
12290,7
12291,5
12292,3
12293,8
12294,10
12295,10
12296,16
12297,1
12298,2
12299,12
12300,36
12301,17
12302,14
12303,17
12304,8
12305,22
12306,12
12307,37
12308,14
12309,14
12310,16
12311,9
12312,16
12313,15
12314,47
12315,27
12316,42
12317,2
12318,29
12319,9
12320,5
12321,13
12322,26
12323,16
12324,12
12325,8
12326,7
12327,14
12328,24
12329,18
12330,25
12331,15
12332,16
12333,7
12334,2
12335,12
12336,29
12337,14
12338,5
12339,26
12340,13
12341,11
12342,33
12343,11
12344,13
12345,14
12346,5
12347,27
12348,33
12349,2
12350,15
12351,5
12352,7
12353,4
12354,3
12355,0
12356,8
12357,4
12358,5
12359,17
12360,0
12361,5
12362,20
12363,1
12364,2
12365,11
12366,15
12367,0
12368,11
12369,31
12370,0
12371,0
12372,7
12373,1
12374,7
12375,19
12376,4
12377,17
12378,21
12379,15
12380,9
12381,9
12382,7
12383,8
12384,3
12385,9
12386,13
12387,10
12388,8
12389,4
12390,1
12391,1
12392,11
12393,2
12394,2
12395,7
12396,0
12397,6
12398,7
12399,1
12400,37
12401,14
12402,10
12403,13
12404,15
12405,18
12406,0
12407,13
12408,23
12409,18
12410,28
12411,38
12412,17
12413,30
12414,17
12415,48
12416,43
12417,9
12418,15
12419,3
12420,2
12421,27
12422,15
12423,13
12424,6
12425,6
12426,10
12427,8
12428,15
12429,19
12430,25
12431,26
12432,16
12433,17
12434,8
12435,30
12436,9
12437,28
12438,15
12439,17
12440,14
12441,34
12442,27
12443,12
12444,12
12445,14
12446,15
12447,6
12448,3
12449,8
12450,12
12451,4
12452,4
12453,7
12454,9
12455,21
12456,6
12457,16
12458,1
12459,5
12460,32
12461,0
12462,18
12463,2
12464,8
12465,0
12466,2
12467,10
12468,1
12469,3
12470,1
12471,0
12472,18
12473,0
12474,6
12475,0
12476,8
12477,3
12478,8
12479,22
12480,10
12481,16
12482,16
12483,9
12484,2
12485,14
12486,2
12487,10
12488,3
12489,5
12490,3
12491,5
12492,6
12493,12
12494,8
12495,5
12496,11
12497,9
12498,16
12499,8
12500,5
12501,28
12502,1
12503,3
12504,15
12505,19
12506,4
12507,38
12508,14
12509,24
12510,4
12511,39
12512,31
12513,3
12514,18
12515,19
12516,9
12517,16
12518,11
12519,10
12520,11
12521,14
12522,16
12523,9
12524,13
12525,16
12526,20
12527,27
12528,26
12529,9
12530,17
12531,18
12532,4
12533,31
12534,7
12535,7
12536,13
12537,29
12538,18
12539,16
12540,35
12541,7
12542,16
12543,28
12544,15
12545,10
12546,14
12547,44
12548,49
12549,15
12550,19
12551,7
12552,17
12553,1
12554,9
12555,8
12556,1
12557,22
12558,7
12559,3
12560,5
12561,13
12562,2
12563,0
12564,0
12565,0
12566,4
12567,6
12568,33
12569,9
12570,3
12571,2
12572,18
12573,10
12574,0
12575,17
12576,12
12577,10
12578,23
12579,10
12580,16
12581,0
12582,4
12583,17
12584,6
12585,17
12586,3
12587,9
12588,28
12589,11
12590,9
12591,6
12592,11
12593,15
12594,7
12595,0
12596,9
12597,0
12598,1
12599,6
12600,16
12601,16
12602,17
12603,5
12604,1
12605,29
12606,4
12607,6
12608,39
12609,19
12610,4
12611,2
12612,22
12613,14
12614,20
12615,5
12616,4
12617,15
12618,25
12619,45
12620,0
12621,0
12622,12
12623,40
12624,29
12625,29
12626,10
12627,17
12628,28
12629,21
12630,27
12631,10
12632,8
12633,18
12634,5
12635,8
12636,19
12637,16
12638,36
12639,19
12640,32
12641,17
12642,8
12643,17
12644,11
12645,30
12646,15
12647,14
12648,32
12649,4
12650,2
12651,7
12652,13
12653,11
12654,6
12655,14
12656,10
12657,12
12658,10
12659,16
12660,0
12661,3
12662,1
12663,6
12664,0
12665,11
12666,34
12667,7
12668,3
12669,3
12670,5
12671,10
12672,10
12673,9
12674,23
12675,8
12676,2
12677,8
12678,12
12679,1
12680,17
12681,15
12682,5
12683,1
12684,11
12685,11
12686,7
12687,7
12688,19
12689,10
12690,0
12691,8
12692,18
12693,18
12694,12
12695,2
12696,18
12697,17
12698,10
12699,0
12700,31
12701,18
12702,2
12703,5
12704,17
12705,17
12706,20
12707,30
12708,6
12709,21
12710,13
12711,40
12712,6
12713,1
12714,11
12715,16
12716,33
12717,3
12718,15
12719,26
12720,30
12721,3
12722,9
12723,11
12724,7
12725,46
12726,30
12727,18
12728,29
12729,28
12730,22
12731,11
12732,9
12733,19
12734,6
12735,16
12736,15
12737,20
12738,9
12739,5
12740,12
12741,18
12742,13
12743,0
12744,37
12745,33
12746,18
12747,17
12748,12
12749,20
12750,2
12751,12
12752,0
12753,2
12754,14
12755,4
12756,9
12757,13
12758,15
12759,11
12760,0
12761,3
12762,0
12763,0
12764,0
12765,0
12766,0
12767,5
12768,6
12769,10
12770,13
12771,4
12772,6
12773,0
12774,12
12775,17
12776,18
12777,7
12778,5
12779,8
12780,19
12781,8
12782,11
12783,11
12784,1
12785,0
12786,16
12787,9
12788,18
12789,35
12790,7
12791,9
12792,19
12793,8
12794,24
12795,2
12796,11
12797,19
12798,3
12799,4
12800,4
12801,19
12802,17
12803,6
12804,31
12805,32
12806,21
12807,18
12808,22
12809,19
12810,0
12811,41
12812,7
12813,12
12814,2
12815,3
12816,18
12817,34
12818,7
12819,17
