fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-02,Harlem Shake,1,48,0.016171,0.017855
2013-03-02,Thrift Shop,2,1,0.191085,0.021268
2013-03-02,Stay,3,46,0.028626,0.018079
2013-03-02,Scream & Shout,4,2,0.191085,0.021268
2013-03-02,I Knew You Were Trouble.,5,15,0.132619,0.02006
2013-03-02,Ho Hey,6,32,0.132619,0.02006
2013-03-02,Locked Out Of Heaven,7,16,0.132619,0.02006
2013-03-02,When I Was Your Man,8,31,0.132619,0.02006
2013-03-02,Suit & Tie,9,41,0.096329,0.019345
2013-03-02,Started From The Bottom,10,47,0.027749,0.018063
2013-03-02,Don't You Worry Child,11,3,0.191085,0.021268
2013-03-02,I Will Wait,12,7,0.191085,0.021268
2013-03-02,Daylight,13,14,0.132619,0.02006
2013-03-02,Girl On Fire,14,5,0.191085,0.021268
2013-03-02,F**kin Problems,15,6,0.191085,0.021268
2013-03-02,Beauty And A Beat,16,4,0.191085,0.021268
2013-03-02,Sweet Nothing,17,8,0.191085,0.021268
2013-03-02,Try,18,13,0.132619,0.02006
2013-03-02,Love Me,19,43,0.074529,0.018928
2013-03-02,Carry On,20,40,0.097168,0.019361
2013-03-02,Diamonds,21,24,0.132619,0.02006
2013-03-02,Pour It Up,22,39,0.097168,0.019361
2013-03-02,It's Time,23,30,0.132619,0.02006
2013-03-02,Mirrors,24,49,0.016171,0.017855
2013-03-02,Catch My Breath,25,23,0.132619,0.02006
2013-03-02,Gangnam Style,26,21,0.132619,0.02006
2013-03-02,Adorn,27,22,0.132619,0.02006
2013-03-02,Some Nights,28,17,0.132619,0.02006
2013-03-02,Wanted,29,18,0.132619,0.02006
2013-03-02,Home,30,19,0.132619,0.02006
2013-03-02,Little Talks,31,9,0.191085,0.021268
2013-03-02,The A Team,32,20,0.132619,0.02006
2013-03-02,Hall Of Fame,33,12,0.191085,0.021268
2013-03-02,One More Night,34,29,0.132619,0.02006
2013-03-02,C'mon,35,25,0.132619,0.02006
2013-03-02,Somebody That I Used To Know,36,11,0.191085,0.021268
2013-03-02,Radioactive,37,28,0.132619,0.02006
2013-03-02,Sure Be Cool If You Did,38,42,0.078549,0.019004
2013-03-02,Better Dig Two,39,27,0.132619,0.02006
2013-03-02,I'm Different,40,26,0.132619,0.02006
2013-03-02,Two Black Cadillacs,41,38,0.132619,0.02006
2013-03-02,Swimming Pools (Drank),42,34,0.132619,0.02006
2013-03-02,One Of Those Nights,43,35,0.132619,0.02006
2013-03-02,Troublemaker,44,44,0.074529,0.018928
2013-03-02,One Way Or Another (Teenage Kicks),45,50,0.016171,0.017855
2013-03-02,All Gold Everything,46,36,0.132619,0.02006
2013-03-02,Feel This Moment,47,45,0.056379,0.018588
2013-03-02,I Cry,48,33,0.132619,0.02006
2013-03-02,Poetic Justice,49,10,0.191085,0.021268
2013-03-02,Die Young,50,37,0.132619,0.02006
2013-03-09,Harlem Shake,1,49,0.027587,0.017848
2013-03-09,Thrift Shop,2,1,0.213351,0.021492
2013-03-09,When I Was Your Man,3,32,0.143481,0.020042
2013-03-09,I Knew You Were Trouble.,4,15,0.143481,0.020042
2013-03-09,Scream & Shout,5,2,0.213351,0.021492
2013-03-09,Started From The Bottom,6,47,0.038788,0.01805
2013-03-09,Stay,7,46,0.041401,0.018097
2013-03-09,Suit & Tie,8,38,0.123773,0.019651
2013-03-09,Locked Out Of Heaven,9,14,0.143481,0.020042
2013-03-09,Love Me,10,41,0.097234,0.019136
2013-03-09,Ho Hey,11,16,0.143481,0.020042
2013-03-09,Don't You Worry Child,12,4,0.213351,0.021492
2013-03-09,One Way Or Another (Teenage Kicks),13,48,0.027749,0.017851
2013-03-09,Daylight,14,13,0.143481,0.020042
2013-03-09,F**kin Problems,15,5,0.213351,0.021492
2013-03-09,Girl On Fire,16,3,0.213351,0.021492
2013-03-09,Sweet Nothing,17,8,0.213351,0.021492
2013-03-09,Beauty And A Beat,18,7,0.213351,0.021492
2013-03-09,I Will Wait,19,6,0.213351,0.021492
2013-03-09,Try,20,22,0.143481,0.020042
2013-03-09,Pour It Up,21,39,0.115948,0.019497
2013-03-09,Radioactive,22,21,0.143481,0.020042
2013-03-09,It's Time,23,12,0.143481,0.020042
2013-03-09,Catch My Breath,24,18,0.143481,0.020042
2013-03-09,Diamonds,25,20,0.143481,0.020042
2013-03-09,Little Talks,26,9,0.213351,0.021492
2013-03-09,Gangnam Style,27,19,0.143481,0.020042
2013-03-09,Feel This Moment,28,44,0.074529,0.018706
2013-03-09,Home,29,17,0.143481,0.020042
2013-03-09,Carry On,30,40,0.115948,0.019497
2013-03-09,Hall Of Fame,31,10,0.213351,0.021492
2013-03-09,Sure Be Cool If You Did,32,43,0.095774,0.019108
2013-03-09,One More Night,33,31,0.143481,0.020042
2013-03-09,Poetic Justice,34,11,0.213351,0.021492
2013-03-09,C'mon,35,30,0.143481,0.020042
2013-03-09,Wanted,36,29,0.143481,0.020042
2013-03-09,Troublemaker,37,42,0.097234,0.019136
2013-03-09,Some Nights,38,28,0.143481,0.020042
2013-03-09,Better Dig Two,39,27,0.143481,0.020042
2013-03-09,Adorn,40,26,0.143481,0.020042
2013-03-09,All Gold Everything,41,25,0.143481,0.020042
2013-03-09,Hey Porsche,42,50,0.016171,0.017646
2013-03-09,Swimming Pools (Drank),43,23,0.143481,0.020042
2013-03-09,One Of Those Nights,44,35,0.143481,0.020042
2013-03-09,The A Team,45,36,0.143481,0.020042
2013-03-09,Kiss You,46,37,0.132619,0.019825
2013-03-09,Two Black Cadillacs,47,33,0.143481,0.020042
2013-03-09,I'm Different,48,24,0.143481,0.020042
2013-03-09,Sail,49,45,0.063406,0.018499
2013-03-09,Die Young,50,34,0.143481,0.020042
2013-03-16,Harlem Shake,1,49,0.038321,0.017942
2013-03-16,Thrift Shop,2,1,0.224065,0.021605
2013-03-16,When I Was Your Man,3,32,0.148307,0.020029
2013-03-16,I Knew You Were Trouble.,4,15,0.148307,0.020029
2013-03-16,Stay,5,44,0.0561,0.018264
2013-03-16,Started From The Bottom,6,45,0.050595,0.018164
2013-03-16,Scream & Shout,7,2,0.224065,0.021605
2013-03-16,Suit & Tie,8,12,0.155083,0.020165
2013-03-16,Locked Out Of Heaven,9,16,0.148307,0.020029
2013-03-16,Don't You Worry Child,10,4,0.224065,0.021605
2013-03-16,Love Me,11,40,0.125241,0.019572
2013-03-16,Heart Attack,12,50,0.016171,0.017549
2013-03-16,Ho Hey,13,14,0.148307,0.020029
2013-03-16,Daylight,14,13,0.148307,0.020029
2013-03-16,F**kin Problems,15,5,0.224065,0.021605
2013-03-16,Sweet Nothing,16,3,0.224065,0.021605
2013-03-16,Girl On Fire,17,8,0.224065,0.021605
2013-03-16,Feel This Moment,18,42,0.097234,0.019031
2013-03-16,I Will Wait,19,7,0.224065,0.021605
2013-03-16,Radioactive,20,20,0.148307,0.020029
2013-03-16,Pour It Up,21,37,0.132619,0.019717
2013-03-16,It's Time,22,22,0.148307,0.020029
2013-03-16,Catch My Breath,23,21,0.148307,0.020029
2013-03-16,Beauty And A Beat,24,6,0.224065,0.021605
2013-03-16,Try,25,19,0.148307,0.020029
2013-03-16,Poetic Justice,26,9,0.224065,0.021605
2013-03-16,Gangnam Style,27,18,0.148307,0.020029
2013-03-16,Little Talks,28,10,0.224065,0.021605
2013-03-16,Sure Be Cool If You Did,29,41,0.113959,0.019352
2013-03-16,Sail,30,43,0.078549,0.018679
2013-03-16,Carry On,31,38,0.132619,0.019717
2013-03-16,Diamonds,32,17,0.148307,0.020029
2013-03-16,Skyfall,33,35,0.145059,0.019964
