fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-02,Harlem Shake,1,48,0.006766,0.018006
2013-03-02,Thrift Shop,2,1,0.169868,0.021196
2013-03-02,Stay,3,46,0.013646,0.018131
2013-03-02,Scream & Shout,4,2,0.169868,0.021196
2013-03-02,I Knew You Were Trouble.,5,15,0.11393,0.020043
2013-03-02,Ho Hey,6,32,0.11393,0.020043
2013-03-02,Locked Out Of Heaven,7,16,0.11393,0.020043
2013-03-02,When I Was Your Man,8,31,0.11393,0.020043
2013-03-02,Suit & Tie,9,41,0.088775,0.019545
2013-03-02,Started From The Bottom,10,47,0.013116,0.018121
2013-03-02,Don't You Worry Child,11,3,0.169868,0.021196
2013-03-02,I Will Wait,12,7,0.169868,0.021196
2013-03-02,Daylight,13,14,0.11393,0.020043
2013-03-02,Girl On Fire,14,5,0.169868,0.021196
2013-03-02,F**kin Problems,15,6,0.169868,0.021196
2013-03-02,Beauty And A Beat,16,4,0.169868,0.021196
2013-03-02,Sweet Nothing,17,8,0.169868,0.021196
2013-03-02,Try,18,13,0.11393,0.020043
2013-03-02,Love Me,19,43,0.058426,0.018961
2013-03-02,Carry On,20,40,0.088969,0.019549
2013-03-02,Diamonds,21,24,0.11393,0.020043
2013-03-02,Pour It Up,22,39,0.088969,0.019549
2013-03-02,It's Time,23,30,0.11393,0.020043
2013-03-02,Mirrors,24,49,0.006766,0.018006
2013-03-02,Catch My Breath,25,23,0.11393,0.020043
2013-03-02,Gangnam Style,26,21,0.11393,0.020043
2013-03-02,Adorn,27,22,0.11393,0.020043
2013-03-02,Some Nights,28,17,0.11393,0.020043
2013-03-02,Wanted,29,18,0.11393,0.020043
2013-03-02,Home,30,19,0.11393,0.020043
2013-03-02,Little Talks,31,9,0.169868,0.021196
2013-03-02,The A Team,32,20,0.11393,0.020043
2013-03-02,Hall Of Fame,33,12,0.169868,0.021196
2013-03-02,One More Night,34,29,0.11393,0.020043
2013-03-02,C'mon,35,25,0.11393,0.020043
2013-03-02,Somebody That I Used To Know,36,11,0.169868,0.021196
2013-03-02,Radioactive,37,28,0.11393,0.020043
2013-03-02,Sure Be Cool If You Did,38,42,0.067578,0.019135
2013-03-02,Better Dig Two,39,27,0.11393,0.020043
2013-03-02,I'm Different,40,26,0.11393,0.020043
2013-03-02,Two Black Cadillacs,41,38,0.11393,0.020043
2013-03-02,Swimming Pools (Drank),42,34,0.11393,0.020043
2013-03-02,One Of Those Nights,43,35,0.11393,0.020043
2013-03-02,Troublemaker,44,44,0.058426,0.018961
2013-03-02,One Way Or Another (Teenage Kicks),45,50,0.006766,0.018006
2013-03-02,All Gold Everything,46,36,0.11393,0.020043
2013-03-02,Feel This Moment,47,45,0.03692,0.018557
2013-03-02,I Cry,48,33,0.11393,0.020043
2013-03-02,Poetic Justice,49,10,0.169868,0.021196
2013-03-02,Die Young,50,37,0.11393,0.020043
2013-03-09,Harlem Shake,1,49,0.013097,0.018003
2013-03-09,Thrift Shop,2,1,0.180713,0.021288
2013-03-09,When I Was Your Man,3,32,0.119053,0.020015
2013-03-09,I Knew You Were Trouble.,4,15,0.119053,0.020015
2013-03-09,Scream & Shout,5,2,0.180713,0.021288
2013-03-09,Started From The Bottom,6,47,0.021039,0.018147
2013-03-09,Stay,7,46,0.022954,0.018181
2013-03-09,Suit & Tie,8,12,0.123336,0.020101
2013-03-09,Locked Out Of Heaven,9,16,0.119053,0.020015
2013-03-09,Love Me,10,41,0.089163,0.019426
2013-03-09,Ho Hey,11,14,0.119053,0.020015
2013-03-09,Don't You Worry Child,12,4,0.180713,0.021288
2013-03-09,One Way Or Another (Teenage Kicks),13,48,0.013118,0.018003
2013-03-09,Daylight,14,13,0.119053,0.020015
2013-03-09,F**kin Problems,15,5,0.180713,0.021288
2013-03-09,Girl On Fire,16,3,0.180713,0.021288
2013-03-09,Sweet Nothing,17,8,0.180713,0.021288
2013-03-09,Beauty And A Beat,18,7,0.180713,0.021288
2013-03-09,I Will Wait,19,6,0.180713,0.021288
2013-03-09,Try,20,23,0.119053,0.020015
2013-03-09,Pour It Up,21,39,0.104902,0.019734
2013-03-09,Radioactive,22,21,0.119053,0.020015
2013-03-09,It's Time,23,22,0.119053,0.020015
2013-03-09,Catch My Breath,24,18,0.119053,0.020015
2013-03-09,Diamonds,25,20,0.119053,0.020015
2013-03-09,Little Talks,26,9,0.180713,0.021288
2013-03-09,Gangnam Style,27,19,0.119053,0.020015
2013-03-09,Feel This Moment,28,44,0.058475,0.018839
2013-03-09,Home,29,17,0.119053,0.020015
2013-03-09,Carry On,30,40,0.104902,0.019734
2013-03-09,Hall Of Fame,31,10,0.180713,0.021288
2013-03-09,Sure Be Cool If You Did,32,43,0.088674,0.019416
2013-03-09,One More Night,33,31,0.119053,0.020015
2013-03-09,Poetic Justice,34,11,0.180713,0.021288
2013-03-09,C'mon,35,30,0.119053,0.020015
2013-03-09,Wanted,36,29,0.119053,0.020015
2013-03-09,Troublemaker,37,42,0.089163,0.019426
2013-03-09,Some Nights,38,28,0.119053,0.020015
2013-03-09,Better Dig Two,39,27,0.119053,0.020015
2013-03-09,Adorn,40,26,0.119053,0.020015
2013-03-09,All Gold Everything,41,25,0.119053,0.020015
2013-03-09,Hey Porsche,42,50,0.006766,0.017889
2013-03-09,Swimming Pools (Drank),43,34,0.119053,0.020015
2013-03-09,One Of Those Nights,44,35,0.119053,0.020015
2013-03-09,The A Team,45,36,0.119053,0.020015
2013-03-09,Kiss You,46,38,0.114156,0.019918
2013-03-09,Two Black Cadillacs,47,33,0.119053,0.020015
2013-03-09,I'm Different,48,24,0.119053,0.020015
2013-03-09,Sail,49,45,0.04731,0.01863
2013-03-09,Die Young,50,37,0.119053,0.020015
2013-03-16,Harlem Shake,1,49,0.020972,0.018078
2013-03-16,Thrift Shop,2,1,0.187099,0.021345
2013-03-16,When I Was Your Man,3,32,0.121824,0.019996
2013-03-16,I Knew You Were Trouble.,4,21,0.121824,0.019996
2013-03-16,Stay,5,44,0.036962,0.01837
2013-03-16,Started From The Bottom,6,45,0.032032,0.018279
2013-03-16,Scream & Shout,7,2,0.187099,0.021345
2013-03-16,Suit & Tie,8,12,0.151576,0.0206
2013-03-16,Locked Out Of Heaven,9,16,0.121824,0.019996
2013-03-16,Don't You Worry Child,10,4,0.187099,0.021345
2013-03-16,Love Me,11,14,0.123986,0.02004
2013-03-16,Heart Attack,12,50,0.006766,0.017823
2013-03-16,Ho Hey,13,31,0.121824,0.019996
2013-03-16,Daylight,14,15,0.121824,0.019996
2013-03-16,F**kin Problems,15,5,0.187099,0.021345
2013-03-16,Sweet Nothing,16,3,0.187099,0.021345
2013-03-16,Girl On Fire,17,8,0.187099,0.021345
2013-03-16,Feel This Moment,18,42,0.08926,0.019356
2013-03-16,I Will Wait,19,7,0.187099,0.021345
2013-03-16,Radioactive,20,20,0.121824,0.019996
2013-03-16,Pour It Up,21,39,0.114383,0.019848
2013-03-16,It's Time,22,22,0.121824,0.019996
2013-03-16,Catch My Breath,23,23,0.121824,0.019996
2013-03-16,Beauty And A Beat,24,6,0.187099,0.021345
2013-03-16,Try,25,19,0.121824,0.019996
2013-03-16,Poetic Justice,26,9,0.187099,0.021345
2013-03-16,Gangnam Style,27,18,0.121824,0.019996
2013-03-16,Little Talks,28,10,0.187099,0.021345
2013-03-16,Sure Be Cool If You Did,29,41,0.104513,0.019653
2013-03-16,Sail,30,43,0.067578,0.018941
2013-03-16,Carry On,31,40,0.114383,0.019848
2013-03-16,Diamonds,32,17,0.121824,0.019996
2013-03-16,Skyfall,33,37,0.121312,0.019986
2013-03-16,Troublemaker,34,13,0.123986,0.02004
2013-03-16,One More Night,35,29,0.121824,0.019996
2013-03-16,Home,36,30,0.121824,0.019996
2013-03-16,Hall Of Fame,37,11,0.187099,0.021345
